nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
91,0.007607563164111127,49,10,2.0924050230560804e-07,1.5623961957200368e-06,8.228305811124953e-05,0.2365861468395717
140,0.0001821638751817321,6,2,1.404412406355818e-07,3.434185007942909e-07,7.120333670436428e-05,0.1358465153677092
160,0.00016341741655534893,6,14,1.0526066187494185e-08,1.1977995194466613e-09,0.0,0.11391317813686813
197,8.64439217488278e-05,0,0,-0.0,2.0334438804572996e-19,0.0,0.0
339,0.00016256764730252117,1,4,1.0585087033055386e-06,3.5891782962154904e-11,0.00011353853262224371,0.09572658045421589
367,0.00010481379240479624,1,3,-2.944039039103101e-20,3.30561034945045e-19,0.0,0.0005002501250625312
374,0.00014253009415512871,4,4,1.2963833948013386e-20,1.9667918089143676e-18,1.3442776490967254e-06,0.00208437552109388
484,0.0002839097389245748,9,16,1.1298309862716813e-06,1.9027896038852734e-07,0.0002753983380676428,0.004547728409659375
529,0.00012264320309383436,17,44,1.949020600684727e-06,8.516697896904517e-07,0.0,0.008504252126063032
886,8.64439217488278e-05,0,2,1.3584282849259729e-08,1.1660431705149083e-19,0.0,0.0
925,0.00026777033348506787,11,13,4.285324782773497e-09,2.335041017291291e-08,0.0,0.005502751375687844
964,8.64439217488278e-05,0,55,1.1267579083120628e-05,-6.559972105076617e-20,0.0,0.0
1103,0.0006473465781487351,12,13,0.00024374708570967408,3.06198145529668e-05,1.3833242947800229e-06,0.07436234214184854
1320,0.00011688563295136386,1,5,4.933790276140573e-20,1.3750790979830673e-19,6.864459924323188e-07,0.0009004502251125562
1590,0.00014936064344096817,20,44,0.005431602390319759,0.0021166641886369254,6.709037267873857e-08,0.07417864070375109
1738,0.0004920245441884267,5,3,9.687587932432266e-06,4.1546879772608475e-05,3.9347310550790685e-05,0.10955747868096338
1999,0.0007177388391161398,11,7,1.0413631302547591e-06,1.1087941185589756e-07,0.003372532377804536,0.10238513965111308
2040,0.00026866629739946235,8,9,1.1481349480952489e-06,1.7395705225986437e-07,3.5770289909073617e-06,0.00400200100050025
2204,0.00022568913128873466,6,15,1.1189173005720328e-06,1.2934697331339786e-07,1.4173878884011735e-06,0.1191378898463674
2255,0.00016222855303725352,3,16,1.372004261753872e-06,3.156948903583923e-08,0.00015792871984131863,0.11676588021806829
2260,0.001658796356701819,17,5,6.245974203825952e-09,2.0726536250963748e-08,0.0009548693265551695,0.11457384675243605
2339,8.64439217488278e-05,0,5,1.467016451923876e-09,9.444331085189842e-20,0.0,0.0
2656,0.0006729325536913809,5,4,-2.040212122425723e-20,-1.7966801465534138e-18,0.0,0.0025012506253126563
2808,0.00024990660035108426,3,4,1.1665349539941725e-20,2.2470366053278704e-19,5.007508759384698e-07,0.0015007503751875938
2819,0.0002142845533132589,1,10,2.3139601988480436e-20,3.022030967957795e-19,0.0,0.005685275069967416
2908,0.00035732604313296014,25,28,1.2950260891712434e-06,6.289897170099877e-07,0.00012997140727672658,0.021792408809446738
2963,0.0003188254022105983,6,7,1.0303981420568839e-20,1.9286306609292396e-20,0.0,0.0030015007503751876
3163,0.0006120754044222832,18,15,6.336762412906123e-10,2.365635742645211e-10,0.0,0.11494225140437316
3164,0.0026684651091826964,150,4,0.0005496794978351316,0.0190410350834412,0.0004927753626783403,0.11200952609996434
